row_id,entity,role,note,affiliation,person
4876,Richard Sylbert,art direction,,,
4876,Michael Seirton,set decoration,,,
4976,Pierre Guffroy,art direction,,,
4976,Jack Stephens,art direction,,,
4977,John W. Corso,art direction,,,
4977,John M. Dwyer,set decoration,,,
4978,Stuart Craig,art direction,,,
4978,Bob Cartwright,art direction,,,
4978,Hugh Scaife,set decoration,,,
4979,Norman Reynolds,art direction,,,
4979,Leslie Dilley,art direction,,,
4979,Harry Lange,art direction,,,
4979,Alan Tomkins,art direction,,,
4979,Michael Ford,set decoration,,,
5074,Philip Rosenberg,art direction,,,
5074,Tony Walton,art direction,,,
5074,Edward Stewart,set decoration,,,
5074,Gary Brink,set decoration,,,
5075,Michael Seymour,art direction,,,
5075,Les Dilley,art direction,,,
5075,Roger Christian,art direction,,,
5075,Ian Whittaker,set decoration,,,
5076,Dean Tavoularis,art direction,,,
5076,Angelo Graham,art direction,,,
5076,George R. Nelson,set decoration,,,
5077,George Jenkins,art direction,,,
5077,Arthur Jeph Parker,set decoration,,,
5078,Harold Michelson,art direction,,,
5078,Joe Jennings,art direction,,,
5078,Leon Harris,art direction,,,
5078,John Vallone,art direction,,,
5078,Linda DeScenna,set decoration,,,
5185,Paul Sylbert,art direction,,,
5185,Edwin O'Donovan,art direction,,,
5185,George Gaines,set decoration,,,
5186,Dean Tavoularis,art direction,,,
5186,Angelo Graham,art direction,,,
5186,George R. Nelson,set decoration,,,
5186,Bruce Kay,set decoration,,,
5187,Albert Brenner,art direction,,,
5187,Marvin March,set decoration,,,
5188,Mel Bourne,art direction,,,
5188,Daniel Robert,set decoration,,,
5189,Tony Walton,art direction,,,
5189,Philip Rosenberg,art direction,,,
5189,Edward Stewart,set decoration,,,
5189,Robert Drumheller,set decoration,,,
5291,John Barry,art direction,,,
5291,Norman Reynolds,art direction,,,
5291,Leslie Dilley,art direction,,,
5291,Roger Christian,set decoration,,,
5292,George C. Webb,art direction,,,
5292,Mickey S. Michaels,set decoration,,,
5293,Joe Alves,art direction,,,
5293,Dan Lomino,art direction,,,
5293,Phil Abramson,set decoration,,,
5294,Ken Adam,art direction,,,
5294,Peter Lamont,art direction,,,
5294,Hugh Scaife,set decoration,,,
5295,Albert Brenner,art direction,,,
5295,Marvin March,set decoration,,,
5400,George Jenkins,art direction,,,
5400,George Gaines,set decoration,,,
5401,Elliot Scott,art direction,,,
5401,Norman Reynolds,art direction,,,
5401,Peter Howitt,set decoration,,,
5402,Gene Callahan,art direction,,,
5402,Jack Collis,art direction,,,
5402,Jerry Wunderlich,set decoration,,,
5403,Dale Hennesy,art direction,,,
5403,Robert de Vestel,set decoration,,,
5404,Robert F. Boyle,art direction,,,
5404,Arthur Jeph Parker,set decoration,,,
5504,Ken Adam,art direction,,,
5504,Roy Walker,art direction,,,
5504,Vernon Dixon,set decoration,,,
5505,Edward Carfagno,art direction,,,
5505,Frank McKelvy,set decoration,,,
5506,Alexander Trauner,art direction,,,
5506,Tony Inglis,art direction,,,
5506,Peter James,set decoration,,,
5507,Richard Sylbert,art direction,,,
5507,W. Stewart Campbell,art direction,,,
5507,George Gaines,set decoration,,,
5508,Albert Brenner,art direction,,,
5508,Marvin March,set decoration,,,
5611,Dean Tavoularis,art direction,,,
5611,Angelo Graham,art direction,,,
5611,George R. Nelson,set decoration,,,
5612,Richard Sylbert,art direction,,,
5612,W. Stewart Campbell,art direction,,,
5612,Ruby Levitt,set decoration,,,
5613,Alexander Golitzen,art direction,,,
5613,E. Preston Ames,art direction,,,
5613,Frank McKelvy,set decoration,,,
5614,Peter Ellenshaw,art direction,,,
5614,John B. Mansbridge,art direction,,,
5614,Walter Tyler,art direction,,,
5614,Al Roelofs,art direction,,,
5614,Hal Gausman,set decoration,,,
5615,William Creber,art direction,,,
5615,Ward Preston,art direction,,,
5615,Raphael Bretton,set decoration,,,
5718,Henry Bumstead,art direction,,,
5718,James Payne,set decoration,,,
5719,Lorenzo Mongiardino,art direction,,,
5719,Gianni Quaranta,art direction,,,
5719,Carmelo Patrono,set decoration,,,
5720,Bill Malley,art direction,,,
5720,Jerry Wunderlich,set decoration,,,
5721,Philip Jefferies,art direction,,,
5721,Robert de Vestel,set decoration,,,
5722,Stephen Grimes,art direction,,,
5722,William Kiernan,set decoration,,,
5821,Rolf Zehetbauer,art direction,,,
5821,Jurgen Kiebach,art direction,,,
5821,Herbert Strabel,set decoration,,,
5822,Carl Anderson,art direction,,,
5822,Reg Allen,set decoration,,,
5823,William Creber,art direction,,,
5823,Raphael Bretton,set decoration,,,
5824,John Box,art direction,,,
5824,Gil Parrondo,art direction,,,
5824,Robert W. Laing,art direction,,,
5825,Geoffrey Drake,art direction,,,
5825,Don Ashton,art direction,,,
5825,John Graysmark,art direction,,,
5825,William Hutchinson,art direction,,,
5825,Peter James,set decoration,,,
5925,John Box,art direction,,,
5925,Ernest Archer,art direction,,,
5925,Jack Maxsted,art direction,,,
5925,Gil Parrondo,art direction,,,
5925,Vernon Dixon,set decoration,,,
5926,Boris Leven,art direction,,,
5926,William Tuntke,art direction,,,
5926,Ruby Levitt,set decoration,,,
5927,John B. Mansbridge,art direction,,,
5927,Peter Ellenshaw,art direction,,,
5927,Emile Kuri,set decoration,,,
5927,Hal Gausman,set decoration,,,
5928,Robert Boyle,art direction,,,
5928,Michael Stringer,art direction,,,
5928,Peter Lamont,set decoration,,,
5929,Terence Marsh,art direction,,,
5929,Robert Cartwright,art direction,,,
5929,Peter Howitt,set decoration,,,
6029,Urie McCleary,art direction,,,
6029,Gil Parrondo,art direction,,,
6029,Antonio Mateos,set decoration,,,
6029,Pierre-Louis Thevenet,set decoration,,,
6030,Alexander Golitzen,art direction,,,
6030,E. Preston Ames,art direction,,,
6030,Jack D. Moore,set decoration,,,
6030,Mickey S. Michaels,set decoration,,,
6031,Tambi Larsen,art direction,,,
6031,Darrell Silvera,set decoration,,,
6032,Terry Marsh,art direction,,,
6032,Bob Cartwright,art direction,,,
6032,Pamela Cornell,set decoration,,,
6033,Jack Martin Smith,art direction,,,
6033,Yoshiro Muraki,art direction,,,
6033,Richard Day,art direction,,,
6033,Taizoh Kawashima,art direction,,,
6033,Walter M. Scott,set decoration,,,
6033,Norman Rockett,set decoration,,,
6033,Carl Biddiscombe,set decoration,,,
6136,John DeCuir,art direction,,,
6136,Jack Martin Smith,art direction,,,
6136,Herman Blumenthal,art direction,,,
6136,Walter M. Scott,set decoration,,,
6136,George Hopkins,set decoration,,,
6136,Raphael Bretton,set decoration,,,
6137,Maurice Carter,art direction,,,
6137,Lionel Couch,art direction,,,
6137,Patrick McLoughlin,set decoration,,,
6138,Robert Boyle,art direction,,,
6138,George B. Chan,art direction,,,
6138,Edward Boyle,set decoration,,,
6138,Carl Biddiscombe,set decoration,,,
6139,Alexander Golitzen,art direction,,,
6139,George C. Webb,art direction,,,
6139,Jack D. Moore,set decoration,,,
6140,Harry Horner,art direction,,,
6140,Frank McKelvy,set decoration,,,
6241,John Box,art direction,,,
6241,Terence Marsh,art direction,,,
6241,Vernon Dixon,set decoration,,,
6241,Ken Muggleston,set decoration,,,
6242,George W. Davis,art direction,,,
6242,Edward Carfagno,art direction,,,
6243,Boris Leven,art direction,,,
6243,Walter M. Scott,set decoration,,,
6243,Howard Bristol,set decoration,,,
6244,Tony Masters,art direction,,,
6244,Harry Lange,art direction,,,
6244,Ernie Archer,art direction,,,
6245,Mikhail Bogdanov,art direction,,,
6245,Gennady Myasnikov,art direction,,,
6245,G. Koshelev V. Uvarov,set decoration,,,
6349,John Truscott,art direction,,,
6349,Edward Carrere,art direction,,,
6349,John W. Brown,set decoration,,,
6350,Mario Chiari,art direction,,,
6350,Jack Martin Smith,art direction,,,
6350,Ed Graves,art direction,,,
6350,Walter M. Scott,set decoration,,,
6350,Stuart A. Reiss,set decoration,,,
6351,Robert Clatworthy,art direction,,,
6351,Frank Tuttle,set decoration,,,
6352,Renzo Mongiardino,art direction,,,
6352,John DeCuir,art direction,,,
6352,Elven Webb,art direction,,,
6352,Giuseppe Mariani,art direction,,,
6352,Dario Simoni,set decoration,,,
6352,Luigi Gervasi,set decoration,,,
6353,Alexander Golitzen,art direction,,,
6353,George C. Webb,art direction,,,
6353,Howard Bristol,set decoration,,,
6458,Richard Sylbert,art direction,,,
6458,George James Hopkins,set decoration,,,
6459,Robert Luthardt,art direction,,,
6459,Edward G. Boyle,set decoration,,,
6461,Willy Holt,art direction,,,
6461,Marc Frederix,set decoration,,,
6461,Pierre Guffroy,set decoration,,,
6462,George W. Davis,art direction,,,
6462,Paul Groesse,art direction,,,
6462,Henry Grace,set decoration,,,
6462,Hugh Hunt,set decoration,,,
6463,Jack Martin Smith,art direction,,,
6463,Dale Hennesy,art direction,,,
6463,Walter M. Scott,set decoration,,,
6463,Stuart A. Reiss,set decoration,,,
6464,Alexander Golitzen,art direction,,,
6464,George C. Webb,art direction,,,
6464,John McCarthy,set decoration,,,
6464,John Austin,set decoration,,,
6466,Hal Pereira,art direction,,,
6466,Arthur Lonergan,art direction,,,
6466,Robert Benton,set decoration,,,
6466,James Payne,set decoration,,,
6467,Boris Leven,art direction,,,
6467,Walter M. Scott,set decoration,,,
6467,John Sturtevant,set decoration,,,
6467,William Kiernan,set decoration,,,
6582,Robert Clatworthy,art direction,,,
6582,Joseph Kish,set decoration,,,
6583,Robert Emmet Smith,art direction,,,
6583,Frank Tuttle,set decoration,,,
6584,George W. Davis,art direction,,,
6584,Urie McCleary,art direction,,,
6584,Henry Grace,set decoration,,,
6584,Charles S. Thompson,set decoration,,,
6585,Hal Pereira,art direction,,,
6585,Jack Poplin,art direction,,,
6585,Robert Benton,set decoration,,,
6585,Joseph Kish,set decoration,,,
6586,Hal Pereira,art direction,,,
6586,Tambi Larsen,art direction,,,
6586,Edward Marshall,art direction,,,
6586,Josie MacAvin,set decoration,,,
6587,John Box,art direction,,,
6587,Terry Marsh,art direction,,,
6587,Dario Simoni,set decoration,,,
6588,John DeCuir,art direction,,,
6588,Jack Martin Smith,art direction,,,
6588,Dario Simoni,set decoration,,,
6589,Richard Day,art direction,,,
6589,William Creber,art direction,,,
6589,David Hall,art direction,,,
6589,Ray Moyer,set decoration,,,
6589,Fred MacLean,set decoration,,,
6589,Norman Rockett,set decoration,,,
6590,Robert Clatworthy,art direction,,,
6590,George James Hopkins,set decoration,,,
6591,Boris Leven,art direction,,,
6591,Walter M. Scott,set decoration,,,
6591,Ruby Levitt,set decoration,,,
6708,George W. Davis,art direction,,,
6708,Hans Peters,art direction,,,
6708,Elliot Scott,art direction,,,
6708,Henry Grace,set decoration,,,
6708,Robert R. Benton,set decoration,,,
6709,William Glasgow,art direction,,,
6709,Raphael Bretton,set decoration,,,
6711,Cary Odell,art direction,,,
6711,Edward G. Boyle,set decoration,,,
6712,Gene Allen,art direction,,,
6712,Cecil Beaton,art direction,,,
6712,George James Hopkins,set decoration,,,
6713,John Bryan,art direction,,,
6713,Maurice Carter,art direction,,,
6713,Patrick McLoughlin,set decoration,,,
6713,Robert Cartwright,set decoration,,,
6714,Carroll Clark,art direction,,,
6714,William H. Tuntke,art direction,,,
6714,Emile Kuri,set decoration,,,
6714,Hal Gausman,set decoration,,,
6715,George W. Davis,art direction,,,
6715,Preston Ames,art direction,,,
6715,Henry Grace,set decoration,,,
6715,Hugh Hunt,set decoration,,,
6716,Jack Martin Smith,art direction,,,
6716,Ted Haworth,art direction,,,
6716,Walter M. Scott,set decoration,,,
6716,Stuart A. Reiss,set decoration,,,
6831,Hal Pereira,art direction,,,
6831,Tambi Larsen,art direction,,,
6831,Sam Comer,set decoration,,,
6831,Robert Benton,set decoration,,,
6832,Hal Pereira,art direction,,,
6832,Roland Anderson,art direction,,,
6832,Sam Comer,set decoration,,,
6832,Grace Gregory,set decoration,,,
6833,George W. Davis,art direction,,,
6833,Paul Groesse,art direction,,,
6833,Henry Grace,set decoration,,,
6833,Hugh Hunt,set decoration,,,
6834,John DeCuir,art direction,,,
6834,Jack Martin Smith,art direction,,,
6834,Hilyard Brown,art direction,,,
6834,Herman Blumenthal,art direction,,,
6834,Elven Webb,art direction,,,
6834,Maurice Pelling,art direction,,,
6834,Boris Juraga,art direction,,,
6834,Walter M. Scott,set decoration,,,
6834,Paul S. Fox,set decoration,,,
6834,Ray Moyer,set decoration,,,
6835,Lyle Wheeler,art direction,,,
6835,Gene Callahan,set decoration,,,
6836,Hal Pereira,art direction,,,
6836,Roland Anderson,art direction,,,
6836,Sam Comer,set decoration,,,
6836,James Payne,set decoration,,,
6837,George W. Davis,art direction,,,
6837,William Ferrari,art direction,,,
6837,Addison Hehr,art direction,,,
6837,Henry Grace,set decoration,,,
6837,Don Greenwood Jr,set decoration,,,
6837,Jack Mills,set decoration,,,
6838,Ralph Brinton,art direction,,,
6838,Ted Marshall,art direction,,,
6838,Jocelyn Herbert,art direction,,,
6838,Josie MacAvin,set decoration,,,
6953,Alexander Golitzen,art direction,,,
6953,Henry Bumstead,art direction,,,
6953,Oliver Emert,set decoration,,,
6954,Joseph Wright,art direction,,,
6954,George James Hopkins,set decoration,,,
6955,Ted Haworth,art direction,,,
6955,Leon Barsacq,art direction,,,
6955,Vincent Korda,art direction,,,
6955,Gabriel Bechir,set decoration,,,
6956,George W. Davis,art direction,,,
6956,Edward Carfagno,art direction,,,
6956,Henry Grace,set decoration,,,
6956,Dick Pefferle,set decoration,,,
6957,Hal Pereira,art direction,,,
6957,Roland Anderson,art direction,,,
6957,Sam Comer,set decoration,,,
6957,Frank R. McKelvy,set decoration,,,
6958,John Box,art direction,,,
6958,John Stoll,art direction,,,
6958,Dario Simoni,set decoration,,,
6959,Paul Groesse,art direction,,,
6959,George James Hopkins,set decoration,,,
6960,George W. Davis,art direction,,,
6960,J. McMillan Johnson,art direction,,,
6960,Henry Grace,set decoration,,,
6960,Hugh Hunt,set decoration,,,
6961,Alexander Golitzen,art direction,,,
6961,Robert Clatworthy,art direction,,,
6961,George Milo,set decoration,,,
6962,George W. Davis,art direction,,,
6962,Edward Carfagno,art direction,,,
6962,Henry Grace,set decoration,,,
6962,Dick Pefferle,set decoration,,,
7071,Harry Horner,art direction,,,
7071,Gene Callahan,set decoration,,,
7072,Carroll Clark,art direction,,,
7072,Emile Kuri,set decoration,,,
7072,Hal Gausman,set decoration,,,
7073,Fernando Carrere,art direction,,,
7073,Edward G. Boyle,set decoration,,,
7074,Rudolph Sternad,art direction,,,
7074,George Milo,set decoration,,,
7076,Boris Leven,art direction,,,
7076,Victor A. Gangelin,set decoration,,,
7077,Hal Pereira,art direction,,,
7077,Roland Anderson,art direction,,,
7077,Sam Comer,set decoration,,,
7077,Ray Moyer,set decoration,,,
7078,Veniero Colasanti,art direction,,,
7078,John Moore,art direction,,,
7079,Alexander Golitzen,art direction,,,
7079,Joseph Wright,art direction,,,
7079,Howard Bristol,set decoration,,,
7080,Hal Pereira,art direction,,,
7080,Walter Tyler,art direction,,,
7080,Sam Comer,set decoration,,,
7080,Arthur Krams,set decoration,,,
7195,Alexander Trauner,art direction,,,
7195,Edward G. Boyle,set decoration,,,
7196,Joseph McMillan Johnson,art direction,,,
7196,Kenneth A. Reid,art direction,,,
7196,Ross Dowd,set decoration,,,
7197,Joseph Hurley,art direction,,,
7197,Robert Clatworthy,art direction,,,
7197,George Milo,set decoration,,,
7198,Tom Morahan,art direction,,,
7198,Lionel Couch,set decoration,,,
7199,Hal Pereira,art direction,,,
7199,Walter Tyler,art direction,,,
7199,Sam Comer,set decoration,,,
7199,Arthur Krams,set decoration,,,
7200,Alexander Golitzen,art direction,,,
7200,Eric Orbom,art direction,,,
7200,Russell A. Gausman,set decoration,,,
7200,Julia Heron,set decoration,,,
7201,George W. Davis,art direction,,,
7201,Addison Hehr,art direction,,,
7201,Henry Grace,set decoration,,,
7201,Hugh Hunt,set decoration,,,
7201,Otto Siegel,set decoration,,,
7202,Hal Pereira,art direction,,,
7202,Roland Anderson,art direction,,,
7202,Sam Comer,set decoration,,,
7202,Arrigo Breschi,set decoration,,,
7203,Ted Haworth,art direction,,,
7203,William Kiernan,set decoration,,,
7204,Edward Carrere,art direction,,,
7204,George James Hopkins,set decoration,,,
7317,Lyle R. Wheeler,art direction,,,
7317,George W. Davis,art direction,,,
7317,Walter M. Scott,set decoration,,,
7317,Stuart A. Reiss,set decoration,,,
7318,Hal Pereira,art direction,,,
7318,Walter Tyler,art direction,,,
7318,Sam Comer,set decoration,,,
7318,Arthur Krams,set decoration,,,
7319,Carl Anderson,art direction,,,
7319,William Kiernan,set decoration,,,
7320,Ted Haworth,art direction,,,
7320,Edward G. Boyle,set decoration,,,
7321,Oliver Messel,art direction,,,
7321,William Kellner,art direction,,,
7321,Scot Slimon,set decoration,,,
7322,William A. Horning,art direction,,,
7322,Edward Carfagno,art direction,,,
7322,Hugh Hunt,set decoration,,,
7323,John DeCuir,art direction,,,
7323,Julia Heron,set decoration,,,
7324,Lyle R. Wheeler,art direction,,,
7324,Franz Bachelin,art direction,,,
7324,Herman A. Blumenthal,art direction,,,
7324,Walter M. Scott,set decoration,,,
7324,Joseph Kish,set decoration,,,
7325,William A. Horning,art direction,,,
7325,Robert Boyle,art direction,,,
7325,Merrill Pye,art direction,,,
7325,Henry Grace,set decoration,,,
7325,Frank McKelvy,set decoration,,,
7326,Richard H. Riedel,art direction,,,
7326,Russell A. Gausman,set decoration,,,
7326,Ruby R. Levitt,set decoration,,,
7436,William A. Horning,art direction,,,
7436,Preston Ames,art direction,,,
7436,Henry Grace,set decoration,,,
7436,Keogh Gleason,set decoration,,,
7437,Malcolm Bert,art direction,,,
7437,George James Hopkins,set decoration,,,
7438,Cary Odell,art direction,,,
7438,Louis Diage,set decoration,,,
7439,Lyle R. Wheeler,art direction,,,
7439,John DeCuir,art direction,,,
7439,Walter M. Scott,set decoration,,,
7439,Paul S. Fox,set decoration,,,
7440,Hal Pereira,art direction,,,
7440,Henry Bumstead,art direction,,,
7440,Sam Comer,set decoration,,,
7440,Frank McKelvy,set decoration,,,
7547,Ted Haworth,art direction,,,
7547,Robert Priestley,set decoration,,,
7548,Hal Pereira,art direction,,,
7548,George W. Davis,art direction,,,
7548,Sam Comer,set decoration,,,
7548,Ray Moyer,set decoration,,,
7549,William A. Horning,art direction,,,
7549,Gene Allen,art direction,,,
7549,Edwin B. Willis,set decoration,,,
7549,Richard Pefferle,set decoration,,,
7550,Walter Holscher,art direction,,,
7550,William Kiernan,set decoration,,,
7550,Louis Diage,set decoration,,,
7551,William A. Horning,art direction,,,
7551,Urie McCleary,art direction,,,
7551,Edwin B. Willis,set decoration,,,
7551,Hugh Hunt,set decoration,,,
7647,Cedric Gibbons,art direction,,,
7647,Malcolm F. Brown,art direction,,,
7647,Edwin B. Willis,set decoration,,,
7647,F. Keogh Gleason,set decoration,,,
7649,Hal Pereira,art direction,,,
7649,A. Earl Hedrick,art direction,,,
7649,Samuel M. Comer,set decoration,,,
7649,Frank R. McKelvy,set decoration,,,
7650,Ross Bellah,art direction,,,
7650,William R. Kiernan,set decoration,,,
7650,Louis Diage,set decoration,,,
7651,Lyle R. Wheeler,art direction,,,
7651,Jack Martin Smith,art direction,,,
7651,Walter M. Scott,set decoration,,,
7651,Stuart A. Reiss,set decoration,,,
7652,Lyle R. Wheeler,art direction,,,
7652,John DeCuir,art direction,,,
7652,Walter M. Scott,set decoration,,,
7652,Paul S. Fox,set decoration,,,
7653,James W. Sullivan,art direction,,,
7653,Ken Adam,art direction,,,
7653,Ross J. Dowd,set decoration,,,
7654,Boris Leven,art direction,,,
7654,Ralph S. Hurst,set decoration,,,
7655,Cedric Gibbons,art direction,,,
7655,Hans Peters,art direction,,,
7655,Preston Ames,art direction,,,
7655,Edwin B. Willis,set decoration,,,
7655,F. Keogh Gleason,set decoration,,,
7656,Hal Pereira,art direction,,,
7656,Walter H. Tyler,art direction,,,
7656,Albert Nozaki,art direction,,,
7656,Samuel M. Comer,set decoration,,,
7656,Ray Moyer,set decoration,,,
7775,Hal Pereira,art direction,,,
7775,Tambi Larsen,art direction,,,
7775,Sam Comer,set decoration,,,
7775,Arthur Krams,set decoration,,,
7776,Cedric Gibbons,art direction,,,
7776,Randall Duell,art direction,,,
7776,Edwin B. Willis,set decoration,,,
7776,Henry Grace,set decoration,,,
7777,Cedric Gibbons,art direction,,,
7777,Malcolm Brown,art direction,,,
7777,Edwin B. Willis,set decoration,,,
7777,Hugh B. Hunt,set decoration,,,
7778,Joseph C. Wright,art direction,,,
7778,Darrell Silvera,set decoration,,,
7779,Edward S. Haworth,art direction,,,
7779,Walter Simonds,art direction,,,
7779,Robert Priestley,set decoration,,,
7780,William Flannery,art direction,,,
7780,Jo Mielziner,art direction,,,
7780,Robert Priestley,set decoration,,,
7781,Lyle Wheeler,art direction,,,
7781,John DeCuir,art direction,,,
7781,Walter M. Scott,set decoration,,,
7781,Paul S. Fox,set decoration,,,
7782,Oliver Smith,art direction,,,
7782,Joseph C. Wright,art direction,,,
7782,Howard Bristol,set decoration,,,
7783,Lyle Wheeler,art direction,,,
7783,George W. Davis,art direction,,,
7783,Walter M. Scott,set decoration,,,
7783,Jack Stubbs,set decoration,,,
7784,Hal Pereira,art direction,,,
7784,Joseph McMillan Johnson,art direction,,,
7784,Sam Comer,set decoration,,,
7784,Arthur Krams,set decoration,,,
7898,Hal Pereira,art direction,,,
7898,Roland Anderson,art direction,,,
7898,Sam Comer,set decoration,,,
7898,Grace Gregory,set decoration,,,
7899,Cedric Gibbons,art direction,,,
7899,Edward Carfagno,art direction,,,
7899,Edwin B. Willis,set decoration,,,
7899,Emile Kuri,set decoration,,,
7901,Hal Pereira,art direction,,,
7901,Walter Tyler,art direction,,,
7901,Sam Comer,set decoration,,,
7901,Ray Moyer,set decoration,,,
7902,John Meehan,art direction,,,
7902,Emile Kuri,set decoration,,,
7903,Cedric Gibbons,art direction,,,
7903,Preston Ames,art direction,,,
7903,Edwin B. Willis,set decoration,,,
7903,Keogh Gleason,set decoration,,,
7904,Lyle Wheeler,art direction,,,
7904,Leland Fuller,art direction,,,
7904,Walter M. Scott,set decoration,,,
7904,Paul S. Fox,set decoration,,,
7905,Hal Pereira,art direction,,,
7905,Roland Anderson,art direction,,,
7905,Sam Comer,set decoration,,,
7905,Ray Moyer,set decoration,,,
7906,Malcolm Bert,art direction,,,
7906,Gene Allen,art direction,,,
7906,Irene Sharaff,art direction,,,
7906,George James Hopkins,set decoration,,,
8024,Cedric Gibbons,art direction,,,
8024,Edward Carfagno,art direction,,,
8024,Edwin B. Willis,set decoration,,,
8024,Hugh Hunt,set decoration,,,
8025,Fritz Maurischat,art direction,,,
8025,Paul Markwitz,art direction,,,
8026,Lyle Wheeler,art direction,,,
8026,Leland Fuller,art direction,,,
8026,Paul S. Fox,set decoration,,,
8027,Hal Pereira,art direction,,,
8027,Walter Tyler,art direction,,,
8028,Lyle Wheeler,art direction,,,
8028,Maurice Ransford,art direction,,,
8028,Stuart Reiss,set decoration,,,
8029,Lyle Wheeler,art direction,,,
8029,George W. Davis,art direction,,,
8029,Walter M. Scott,set decoration,,,
8029,Paul S. Fox,set decoration,,,
8030,Alfred Junge,art direction,,,
8030,Hans Peters,art direction,,,
8030,John Jarvis,set decoration,,,
8031,Cedric Gibbons,art direction,,,
8031,Paul Groesse,art direction,,,
8031,Edwin B. Willis,set decoration,,,
8031,Arthur Krams,set decoration,,,
8032,Cedric Gibbons,art direction,,,
8032,Preston Ames,art direction,,,
8032,Edward Carfagno,art direction,,,
8032,Gabriel Scognamillo,art direction,,,
8032,Edwin B. Willis,set decoration,,,
8032,Keogh Gleason,set decoration,,,
8032,Arthur Krams,set decoration,,,
8032,Jack D. Moore,set decoration,,,
8033,Cedric Gibbons,art direction,,,
8033,Urie McCleary,art direction,,,
8033,Edwin B. Willis,set decoration,,,
8033,Jack D. Moore,set decoration,,,
8153,Cedric Gibbons,art direction,,,
8153,Edward Carfagno,art direction,,,
8153,Edwin B. Willis,set decoration,,,
8153,Keogh Gleason,set decoration,,,
8154,Hal Pereira,art direction,,,
8154,Roland Anderson,art direction,,,
8154,Emile Kuri,set decoration,,,
8155,Lyle Wheeler,art direction,,,
8155,John DeCuir,art direction,,,
8155,Walter M. Scott,set decoration,,,
8156,Matsuyama,art direction,,,
8156,H. Motsumoto,set decoration,,,
8157,Lyle Wheeler,art direction,,,
8157,Leland Fuller,art direction,,,
8157,Thomas Little,set decoration,,,
8157,Claude Carpenter,set decoration,,,
8158,Paul Sheriff,art direction,,,
8158,Marcel Vertes,set decoration,,,
8159,Richard Day,art direction,,,
8159,Clave,art direction,,,
8159,Howard Bristol,set decoration,,,
8160,Cedric Gibbons,art direction,,,
8160,Paul Groesse,art direction,,,
8160,Edwin B. Willis,set decoration,,,
8160,Arthur Krams,set decoration,,,
8161,Frank Hotaling,art direction,,,
8161,John McCarthy Jr,set decoration,,,
8161,Charles Thompson,set decoration,,,
8162,Lyle Wheeler,art direction,,,
8162,John DeCuir,art direction,,,
8162,Thomas Little,set decoration,,,
8162,Paul S. Fox,set decoration,,,
8282,Richard Day,art direction,,,
8282,George James Hopkins,set decoration,,,
8283,Lyle Wheeler,art direction,,,
8283,Leland Fuller,art direction,,,
8283,Thomas Little,set decoration,,,
8283,Fred J. Rode,set decoration,,,
8284,Lyle Wheeler,art direction,,,
8284,John DeCuir,art direction,,,
8284,Thomas Little,set decoration,,,
8284,Paul S. Fox,set decoration,,,
8286,Cedric Gibbons,art direction,,,
8286,Paul Groesse,art direction,,,
8286,Edwin B. Willis,set decoration,,,
8286,Jack D. Moore,set decoration,,,
8287,Cedric Gibbons,art direction,,,
8287,Preston Ames,art direction,,,
8287,Edwin B. Willis,set decoration,,,
8287,Keogh Gleason,set decoration,,,
8288,Lyle Wheeler,art direction,,,
8288,George Davis,art direction,,,
8288,Thomas Little,set decoration,,,
8288,Paul S. Fox,set decoration,,,
8289,Lyle Wheeler,art direction,,,
8289,Leland Fuller,art direction,,,
8289,Joseph C. Wright,musical settings,,,
8289,Thomas Little,set decoration,,,
8289,Walter M. Scott,set decoration,,,
8290,William A. Horning,art direction,,,
8290,Cedric Gibbons,art direction,,,
8290,Edward Carfagno,art direction,,,
8290,Hugh Hunt,set decoration,,,
8400,Hans Dreier,art direction,,,
8400,John Meehan,art direction,,,
8400,Sam Comer,set decoration,,,
8400,Ray Moyer,set decoration,,,
8401,Lyle Wheeler,art direction,,,
8401,George W. Davis,art direction,,,
8401,Thomas Little,set decoration,,,
8401,Walter M. Scott,set decoration,,,
8402,Cedric Gibbons,art direction,,,
8402,Hans Peters,art direction,,,
8402,Edwin B. Willis,set decoration,,,
8402,Hugh Hunt,set decoration,,,
8403,Hans Dreier,art direction,,,
8403,Walter Tyler,art direction,,,
8403,Sam Comer,set decoration,,,
8403,Ray Moyer,set decoration,,,
8404,Cedric Gibbons,art direction,,,
8404,Paul Groesse,art direction,,,
8404,Edwin B. Willis,set decoration,,,
8404,Richard A. Pefferle,set decoration,,,
8405,Ernst Fegte,art direction,,,
8405,George Sawley,set decoration,,,
8512,Harry Horner,art direction,,,
8512,John Meehan,art direction,,,
8512,Emile Kuri,set decoration,,,
8513,Lyle Wheeler,art direction,,,
8513,Joseph C. Wright,art direction,,,
8513,Thomas Little,set decoration,,,
8513,Paul S. Fox,set decoration,,,
8514,Cedric Gibbons,art direction,,,
8514,Jack Martin Smith,art direction,,,
8514,Edwin B. Willis,set decoration,,,
8514,Richard A. Pefferle,set decoration,,,
8515,Cedric Gibbons,art direction,,,
8515,Paul Groesse,art direction,,,
8515,Edwin B. Willis,set decoration,,,
8515,Jack D. Moore,set decoration,,,
8516,Edward Carrere,art direction,,,
8516,Lyle Reifsnider,set decoration,,,
8517,Jim Morahan,art direction,,,
8517,William Kellner,art direction,,,
8517,Michael Relph,art direction,,,
