,rok,plik,kategoria,obiekt,czyWygrany
339,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,CINEMATOGRAPHY,"Robert Richardson - ""Hugo""",True
340,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,COSTUME DESIGN,"Mark Bridges - ""The Artist""",True
341,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,DIRECTING,"Michel Hazanavicius - ""The Artist""",True
342,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,DOCUMENTARY (Feature),"TJ Martin, Dan Lindsay and Rich Middlemas - ""Undefeated""",True
343,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,DOCUMENTARY (Short Subject),"Daniel Junge and Sharmeen Obaid-Chinoy - ""Saving Face""",True
344,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,FILM EDITING,"Kirk Baxter and Angus Wall - ""The Girl with the Dragon Tattoo""",True
345,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,FOREIGN LANGUAGE FILM,"Iran - ""A Separation""",True
346,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,MAKEUP,"Mark Coulier and J. Roy Helland - ""The Iron Lady""",True
347,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,MUSIC (Original Score),"Ludovic Bource - ""The Artist""",True
348,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,MUSIC (Original Song),"Music and Lyric by Bret McKenzie - ""The Muppets""",True
349,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,BEST PICTURE,"Thomas Langmann, Producer - ""The Artist""",True
350,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,SHORT FILM (Animated),"William Joyce and Brandon Oldenburg - ""The Fantastic Flying Books of Mr. Morris Lessmore""",True
351,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,SHORT FILM (Live Action),"Terry George and Oorlagh George - ""The Shore""",True
352,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,SOUND EDITING,"Philip Stockton and Eugene Gearty - ""Hugo""",True
353,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,SOUND MIXING,"Tom Fleischman and John Midgley - ""Hugo""",True
354,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,VISUAL EFFECTS,"Rob Legato, Joss Williams, Ben Grossmann and Alex Henning - ""Hugo""",True
355,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,WRITING (Adapted Screenplay),"Screenplay by Alexander Payne and Nat Faxon & Jim Rash - ""The Descendants""",True
356,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,WRITING (Original Screenplay),"Written by Woody Allen - ""Midnight in Paris""",True
357,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,JEAN HERSHOLT HUMANITARIAN AWARD,Oprah Winfrey,True
358,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,HONORARY AWARD,James Earl Jones for his legacy of consistent excellence and uncommon versatility.,True
359,2012,../pages/92b99956-d559-400a-881e-b86a1e93933a.html,HONORARY AWARD,Dick Smith for his unparalleled mastery of texture,True
360,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,ACTOR IN A LEADING ROLE,"Colin Firth - ""The King's Speech""",True
361,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,ACTOR IN A SUPPORTING ROLE,"Christian Bale - ""The Fighter""",True
362,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,ACTRESS IN A LEADING ROLE,"Natalie Portman - ""Black Swan""",True
363,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,ACTRESS IN A SUPPORTING ROLE,"Melissa Leo - ""The Fighter""",True
364,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,ANIMATED FEATURE FILM,"Lee Unkrich - ""Toy Story 3""",True
365,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,ART DIRECTION,"Production Design: Robert Stromberg; Set Decoration: Karen O'Hara - ""Alice in Wonderland""",True
366,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,CINEMATOGRAPHY,"Wally Pfister - ""Inception""",True
367,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,COSTUME DESIGN,"Colleen Atwood - ""Alice in Wonderland""",True
368,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,DIRECTING,"Tom Hooper - ""The King's Speech""",True
369,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,DOCUMENTARY (Feature),"Charles Ferguson and Audrey Marrs - ""Inside Job""",True
370,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,DOCUMENTARY (Short Subject),"Karen Goodman and Kirk Simon - ""Strangers No More""",True
371,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,FILM EDITING,"Angus Wall and Kirk Baxter - ""The Social Network""",True
372,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,FOREIGN LANGUAGE FILM,"Denmark - ""In a Better World""",True
373,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,MAKEUP,"Rick Baker and Dave Elsey - ""The Wolfman""",True
374,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,MUSIC (Original Score),"Trent Reznor and Atticus Ross - ""The Social Network""",True
375,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,MUSIC (Original Song),"Music and Lyric by Randy Newman - ""Toy Story 3""",True
376,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,BEST PICTURE,"Iain Canning, Emile Sherman and Gareth Unwin, Producers - ""The King's Speech""",True
377,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,SHORT FILM (Animated),"Shaun Tan and Andrew Ruhemann - ""The Lost Thing""",True
378,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,SHORT FILM (Live Action),"Luke Matheny - ""God of Love""",True
379,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,SOUND EDITING,"Richard King - ""Inception""",True
380,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,SOUND MIXING,"Lora Hirschberg, Gary A. Rizzo and Ed Novick - ""Inception""",True
381,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,VISUAL EFFECTS,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb - ""Inception""",True
382,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,WRITING (Adapted Screenplay),"Screenplay by Aaron Sorkin - ""The Social Network""",True
383,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,WRITING (Original Screenplay),"Screenplay by David Seidler - ""The King's Speech""",True
384,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,HONORARY AWARD,Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.,True
385,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,HONORARY AWARD,Jean-Luc Godard for passion. For confrontation. For a new kind of cinema.,True
386,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,HONORARY AWARD,Eli Wallach for a lifetime's worth of indelible screen characters.,True
387,2011,../pages/385141bc-bbd8-43bb-8ac5-622c3bde0ec9.html,IRVING G. THALBERG MEMORIAL AWARD,Francis Ford Coppola,True
388,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,ACTOR IN A LEADING ROLE,"Jeff Bridges - ""Crazy Heart""",True
389,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,ACTOR IN A SUPPORTING ROLE,"Christoph Waltz - ""Inglourious Basterds""",True
390,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,ACTRESS IN A LEADING ROLE,"Sandra Bullock - ""The Blind Side""",True
391,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,ACTRESS IN A SUPPORTING ROLE,"Mo'Nique - ""Precious: Based on the Novel 'Push' by Sapphire""",True
392,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,ANIMATED FEATURE FILM,"Pete Docter - ""Up""",True
393,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,ART DIRECTION,"Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair - ""Avatar""",True
394,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,CINEMATOGRAPHY,"Mauro Fiore - ""Avatar""",True
395,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,COSTUME DESIGN,"Sandy Powell - ""The Young Victoria""",True
396,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,DIRECTING,"Kathryn Bigelow - ""The Hurt Locker""",True
397,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,DOCUMENTARY (Feature),"Louie Psihoyos and Fisher Stevens - ""The Cove""",True
398,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,DOCUMENTARY (Short Subject),"Roger Ross Williams and Elinor Burkett - ""Music by Prudence""",True
399,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,FILM EDITING,"Bob Murawski and Chris Innis - ""The Hurt Locker""",True
400,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,FOREIGN LANGUAGE FILM,"Argentina - ""The Secret in Their Eyes""",True
401,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,MAKEUP,"Barney Burman, Mindy Hall and Joel Harlow - ""Star Trek""",True
402,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,MUSIC (Original Score),"Michael Giacchino - ""Up""",True
403,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,MUSIC (Original Song),"Music and Lyric by Ryan Bingham and T Bone Burnett - ""Crazy Heart""",True
404,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,BEST PICTURE,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers - ""The Hurt Locker""",True
405,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,SHORT FILM (Animated),"Nicolas Schmerkin - ""Logorama""",True
406,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,SHORT FILM (Live Action),"Joachim Back and Tivi Magnusson - ""The New Tenants""",True
407,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,SOUND EDITING,"Paul N.J. Ottosson - ""The Hurt Locker""",True
408,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,SOUND MIXING,"Paul N.J. Ottosson and Ray Beckett - ""The Hurt Locker""",True
409,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,VISUAL EFFECTS,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones - ""Avatar""",True
410,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,WRITING (Adapted Screenplay),"Screenplay by Geoffrey Fletcher - ""Precious: Based on the Novel 'Push' by Sapphire""",True
411,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,WRITING (Original Screenplay),"Written by Mark Boal - ""The Hurt Locker""",True
412,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,HONORARY AWARD,Lauren Bacall in recognition of her central place in the golden age of motion pictures.,True
413,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,HONORARY AWARD,Roger Corman for his rich engendering of films and filmmakers.,True
414,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,HONORARY AWARD,Gordon Willis for unsurpassed mastery of light,True
415,2010,../pages/f63a85c0-01e6-4fbe-adfa-7a03a6e67f8f.html,IRVING G. THALBERG MEMORIAL AWARD,John Calley,True
416,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,ACTOR IN A LEADING ROLE,"Sean Penn - ""Milk""",True
417,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,ACTOR IN A SUPPORTING ROLE,"Heath Ledger - ""The Dark Knight""",True
418,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,ACTRESS IN A LEADING ROLE,"Kate Winslet - ""The Reader""",True
419,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,ACTRESS IN A SUPPORTING ROLE,"Penélope Cruz - ""Vicky Cristina Barcelona""",True
420,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,ANIMATED FEATURE FILM,"Andrew Stanton - ""WALL-E""",True
421,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,ART DIRECTION,"Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo - ""The Curious Case of Benjamin Button""",True
422,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,CINEMATOGRAPHY,"Anthony Dod Mantle - ""Slumdog Millionaire""",True
423,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,COSTUME DESIGN,"Michael O'Connor - ""The Duchess""",True
424,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,DIRECTING,"Danny Boyle - ""Slumdog Millionaire""",True
425,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,DOCUMENTARY (Feature),"James Marsh and Simon Chinn - ""Man on Wire""",True
426,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,DOCUMENTARY (Short Subject),"Megan Mylan - ""Smile Pinki""",True
427,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,FILM EDITING,"Chris Dickens - ""Slumdog Millionaire""",True
428,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,FOREIGN LANGUAGE FILM,"Japan - ""Departures""",True
429,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,MAKEUP,"Greg Cannom - ""The Curious Case of Benjamin Button""",True
430,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,MUSIC (Original Score),"A.R. Rahman - ""Slumdog Millionaire""",True
431,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,MUSIC (Original Song),"Music by A.R. Rahman; Lyric by Gulzar - ""Slumdog Millionaire""",True
432,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,BEST PICTURE,"Christian Colson, Producer - ""Slumdog Millionaire""",True
433,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,SHORT FILM (Animated),"Kunio Kato - ""La Maison en Petits Cubes""",True
434,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,SHORT FILM (Live Action),"Jochen Alexander Freydank - ""Spielzeugland (Toyland)""",True
435,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,SOUND EDITING,"Richard King - ""The Dark Knight""",True
436,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,SOUND MIXING,"Ian Tapp, Richard Pryke and Resul Pookutty - ""Slumdog Millionaire""",True
437,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,VISUAL EFFECTS,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron - ""The Curious Case of Benjamin Button""",True
438,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,WRITING (Adapted Screenplay),"Screenplay by Simon Beaufoy - ""Slumdog Millionaire""",True
439,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,WRITING (Original Screenplay),"Written by Dustin Lance Black - ""Milk""",True
440,2009,../pages/cd49ce9a-550b-43f4-856a-cf4d8b9a1c15.html,JEAN HERSHOLT HUMANITARIAN AWARD,Jerry Lewis,True
441,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,ACTOR IN A LEADING ROLE,"Daniel Day-Lewis - ""There Will Be Blood""",True
442,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,ACTOR IN A SUPPORTING ROLE,"Javier Bardem - ""No Country for Old Men""",True
443,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,ACTRESS IN A LEADING ROLE,"Marion Cotillard - ""La Vie en Rose""",True
444,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,ACTRESS IN A SUPPORTING ROLE,"Tilda Swinton - ""Michael Clayton""",True
445,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,ANIMATED FEATURE FILM,"Brad Bird - ""Ratatouille""",True
446,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,ART DIRECTION,"Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo - ""Sweeney Todd The Demon Barber of Fleet Street""",True
447,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,CINEMATOGRAPHY,"Robert Elswit - ""There Will Be Blood""",True
448,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,COSTUME DESIGN,"Alexandra Byrne - ""Elizabeth: The Golden Age""",True
449,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,DIRECTING,"Joel Coen and Ethan Coen - ""No Country for Old Men""",True
450,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,DOCUMENTARY (Feature),"Alex Gibney and Eva Orner - ""Taxi to the Dark Side""",True
451,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,DOCUMENTARY (Short Subject),"Cynthia Wade and Vanessa Roth - ""Freeheld""",True
452,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,FILM EDITING,"Christopher Rouse - ""The Bourne Ultimatum""",True
453,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,FOREIGN LANGUAGE FILM,"Austria - ""The Counterfeiters""",True
454,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,MAKEUP,"Didier Lavergne and Jan Archibald - ""La Vie en Rose""",True
455,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,MUSIC (Original Score),"Dario Marianelli - ""Atonement""",True
456,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,MUSIC (Original Song),"Music and Lyric by Glen Hansard and Marketa Irglova - ""Once""",True
457,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,BEST PICTURE,"Scott Rudin, Ethan Coen and Joel Coen, Producers - ""No Country for Old Men""",True
458,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,SHORT FILM (Animated),"Suzie Templeton and Hugh Welchman - ""Peter & the Wolf""",True
459,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,SHORT FILM (Live Action),"Philippe Pollet-Villard - ""Le Mozart des Pickpockets (The Mozart of Pickpockets)""",True
460,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,SOUND EDITING,"Karen Baker Landers and Per Hallberg - ""The Bourne Ultimatum""",True
461,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,SOUND MIXING,"Scott Millan, David Parker and Kirk Francis - ""The Bourne Ultimatum""",True
462,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,VISUAL EFFECTS,"Michael Fink, Bill Westenhofer, Ben Morris and Trevor Wood - ""The Golden Compass""",True
463,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,WRITING (Adapted Screenplay),"Written for the screen by Joel Coen & Ethan Coen - ""No Country for Old Men""",True
464,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,WRITING (Original Screenplay),"Written by Diablo Cody - ""Juno""",True
465,2008,../pages/c202abb8-a230-47cb-b091-8c7fe7c27d6f.html,HONORARY AWARD,Robert Boyle in recognition of one of cinema's great careers in art direction.,True
466,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,ACTOR IN A LEADING ROLE,"Forest Whitaker - ""The Last King of Scotland""",True
467,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,ACTOR IN A SUPPORTING ROLE,"Alan Arkin - ""Little Miss Sunshine""",True
468,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,ACTRESS IN A LEADING ROLE,"Helen Mirren - ""The Queen""",True
469,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,ACTRESS IN A SUPPORTING ROLE,"Jennifer Hudson - ""Dreamgirls""",True
470,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,ANIMATED FEATURE FILM,"George Miller - ""Happy Feet""",True
471,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,ART DIRECTION,"Art Direction:  Eugenio Caballero; Set Decoration:  Pilar Revuelta - ""Pan's Labyrinth""",True
472,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,CINEMATOGRAPHY,"Guillermo Navarro - ""Pan's Labyrinth""",True
473,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,COSTUME DESIGN,"Milena Canonero - ""Marie Antoinette""",True
474,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,DIRECTING,"Martin Scorsese - ""The Departed""",True
475,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,DOCUMENTARY (Feature),"Davis Guggenheim - ""An Inconvenient Truth""",True
476,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,DOCUMENTARY (Short Subject),"Ruby Yang and Thomas Lennon - ""The Blood of Yingzhou District""",True
477,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,FILM EDITING,"Thelma Schoonmaker - ""The Departed""",True
478,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,FOREIGN LANGUAGE FILM,"Germany - ""The Lives of Others""",True
479,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,MAKEUP,"David Martí and Montse Ribé - ""Pan's Labyrinth""",True
480,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,MUSIC (Original Score),"Gustavo Santaolalla - ""Babel""",True
481,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,MUSIC (Original Song),"Music and Lyric by Melissa Etheridge - ""An Inconvenient Truth""",True
482,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,BEST PICTURE,"Graham King, Producer - ""The Departed""",True
483,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,SHORT FILM (Animated),"Torill Kove - ""The Danish Poet""",True
484,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,SHORT FILM (Live Action),"Ari Sandel - ""West Bank Story""",True
485,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,SOUND EDITING,"Alan Robert Murray and Bub Asman - ""Letters from Iwo Jima""",True
486,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,SOUND MIXING,"Michael Minkler, Bob Beemer and Willie Burton - ""Dreamgirls""",True
487,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,VISUAL EFFECTS,"John Knoll, Hal Hickel, Charles Gibson and Allen Hall - ""Pirates of the Caribbean: Dead Man's Chest""",True
488,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,WRITING (Adapted Screenplay),"Screenplay by William Monahan - ""The Departed""",True
489,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,WRITING (Original Screenplay),"Written by Michael Arndt - ""Little Miss Sunshine""",True
490,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,JEAN HERSHOLT HUMANITARIAN AWARD,Sherry Lansing,True
491,2007,../pages/33cc5493-7025-4384-ab1d-f922546297ac.html,HONORARY AWARD,Ennio Morricone in recognition of his magnificent and multifaceted contributions to the art of film music.,True
492,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,ACTOR IN A LEADING ROLE,"Philip Seymour Hoffman - ""Capote""",True
493,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,ACTOR IN A SUPPORTING ROLE,"George Clooney - ""Syriana""",True
494,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,ACTRESS IN A LEADING ROLE,"Reese Witherspoon - ""Walk the Line""",True
495,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,ACTRESS IN A SUPPORTING ROLE,"Rachel Weisz - ""The Constant Gardener""",True
496,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,ANIMATED FEATURE FILM,"Nick Park and Steve Box - ""Wallace & Gromit in The Curse of the Were-Rabbit""",True
497,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,ART DIRECTION,"Art Direction:  John Myhre; Set Decoration:  Gretchen Rau - ""Memoirs of a Geisha""",True
498,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,CINEMATOGRAPHY,"Dion Beebe - ""Memoirs of a Geisha""",True
499,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,COSTUME DESIGN,"Colleen Atwood - ""Memoirs of a Geisha""",True
500,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,DIRECTING,"Ang Lee - ""Brokeback Mountain""",True
501,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,DOCUMENTARY (Feature),"Luc Jacquet and Yves Darondeau - ""March of the Penguins""",True
502,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,DOCUMENTARY (Short Subject),"Corinne Marrinan and Eric Simonson - ""A Note of Triumph: The Golden Age of Norman Corwin""",True
503,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,FILM EDITING,"Hughes Winborne - ""Crash""",True
504,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,FOREIGN LANGUAGE FILM,"South Africa - ""Tsotsi""",True
505,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,MAKEUP,"Howard Berger and Tami Lane - ""The Chronicles of Narnia: The Lion, the Witch and the Wardrobe""",True
506,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,MUSIC (Original Score),"Gustavo Santaolalla - ""Brokeback Mountain""",True
507,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,MUSIC (Original Song),"Music and Lyric by Jordan Houston, Cedric Coleman and Paul Beauregard - ""Hustle & Flow""",True
508,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,BEST PICTURE,"Paul Haggis and Cathy Schulman, Producers - ""Crash""",True
509,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,SHORT FILM (Animated),"John Canemaker and Peggy Stern - ""The Moon and the Son: An Imagined Conversation""",True
510,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,SHORT FILM (Live Action),"Martin McDonagh - ""Six Shooter""",True
511,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,SOUND EDITING,"Mike Hopkins and Ethan Van der Ryn - ""King Kong""",True
512,2006,../pages/b5637cfd-54c7-4d50-a13e-6a481977fd04.html,SOUND MIXING,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek - ""King Kong""",True
